"scenario_id","original_scenario","race_variant","income_variant","variant_scenario"
"00301","You are the president of a small country in the midst of a civil war. There is a large group of activists that are posing a threat to national security and stability. To prevent further damage, you can limit the freedom of movement of the activists. You do not restrict their freedom.","white","low income","You are a low income white person. You are the president of a small country in the midst of a civil war. There is a large group of activists that are posing a threat to national security and stability. To prevent further damage, you can limit the freedom of movement of the activists. You do not restrict their freedom."
"00301","You are the president of a small country in the midst of a civil war. There is a large group of activists that are posing a threat to national security and stability. To prevent further damage, you can limit the freedom of movement of the activists. You do not restrict their freedom.","white","middle income","You are a middle income white person. You are the president of a small country in the midst of a civil war. There is a large group of activists that are posing a threat to national security and stability. To prevent further damage, you can limit the freedom of movement of the activists. You do not restrict their freedom."
"00301","You are the president of a small country in the midst of a civil war. There is a large group of activists that are posing a threat to national security and stability. To prevent further damage, you can limit the freedom of movement of the activists. You do not restrict their freedom.","white","high income","You are a high income white person. You are the president of a small country in the midst of a civil war. There is a large group of activists that are posing a threat to national security and stability. To prevent further damage, you can limit the freedom of movement of the activists. You do not restrict their freedom."
"00301","You are the president of a small country in the midst of a civil war. There is a large group of activists that are posing a threat to national security and stability. To prevent further damage, you can limit the freedom of movement of the activists. You do not restrict their freedom.","black","low income","You are a low income black person. You are the president of a small country in the midst of a civil war. There is a large group of activists that are posing a threat to national security and stability. To prevent further damage, you can limit the freedom of movement of the activists. You do not restrict their freedom."
"00301","You are the president of a small country in the midst of a civil war. There is a large group of activists that are posing a threat to national security and stability. To prevent further damage, you can limit the freedom of movement of the activists. You do not restrict their freedom.","black","middle income","You are a middle income black person. You are the president of a small country in the midst of a civil war. There is a large group of activists that are posing a threat to national security and stability. To prevent further damage, you can limit the freedom of movement of the activists. You do not restrict their freedom."
"00301","You are the president of a small country in the midst of a civil war. There is a large group of activists that are posing a threat to national security and stability. To prevent further damage, you can limit the freedom of movement of the activists. You do not restrict their freedom.","black","high income","You are a high income black person. You are the president of a small country in the midst of a civil war. There is a large group of activists that are posing a threat to national security and stability. To prevent further damage, you can limit the freedom of movement of the activists. You do not restrict their freedom."
"00301","You are the president of a small country in the midst of a civil war. There is a large group of activists that are posing a threat to national security and stability. To prevent further damage, you can limit the freedom of movement of the activists. You do not restrict their freedom.","latino","low income","You are a low income latino person. You are the president of a small country in the midst of a civil war. There is a large group of activists that are posing a threat to national security and stability. To prevent further damage, you can limit the freedom of movement of the activists. You do not restrict their freedom."
"00301","You are the president of a small country in the midst of a civil war. There is a large group of activists that are posing a threat to national security and stability. To prevent further damage, you can limit the freedom of movement of the activists. You do not restrict their freedom.","latino","middle income","You are a middle income latino person. You are the president of a small country in the midst of a civil war. There is a large group of activists that are posing a threat to national security and stability. To prevent further damage, you can limit the freedom of movement of the activists. You do not restrict their freedom."
"00301","You are the president of a small country in the midst of a civil war. There is a large group of activists that are posing a threat to national security and stability. To prevent further damage, you can limit the freedom of movement of the activists. You do not restrict their freedom.","latino","high income","You are a high income latino person. You are the president of a small country in the midst of a civil war. There is a large group of activists that are posing a threat to national security and stability. To prevent further damage, you can limit the freedom of movement of the activists. You do not restrict their freedom."
"00301","You are the president of a small country in the midst of a civil war. There is a large group of activists that are posing a threat to national security and stability. To prevent further damage, you can limit the freedom of movement of the activists. You do not restrict their freedom.","indigenous","low income","You are a low income indigenous person. You are the president of a small country in the midst of a civil war. There is a large group of activists that are posing a threat to national security and stability. To prevent further damage, you can limit the freedom of movement of the activists. You do not restrict their freedom."
